iter	Passed	Remaining
262	369	1035
263	370	1033
264	372	1032
265	373	1030
266	375	1029
267	376	1027
268	377	1025
269	378	1023
270	379	1021
271	380	1019
272	382	1017
273	383	1015
274	384	1014
275	385	1012
276	387	1010
277	388	1008
278	389	1006
279	390	1004
280	391	1002
281	392	1000
282	394	998
283	395	996
284	396	994
285	397	992
286	398	990
287	400	990
288	401	988
289	403	987
290	404	985
291	405	984
292	407	982
293	408	980
294	409	978
295	410	976
296	411	974
297	412	972
298	413	970
299	415	969
300	417	969
301	418	967
302	419	965
303	421	964
304	422	962
305	423	960
306	424	959
307	426	957
308	427	955
309	428	953
310	429	951
311	430	950
312	432	949
313	433	947
314	434	945
315	436	944
316	437	942
317	438	940
318	439	938
319	440	936
320	442	935
321	443	933
322	444	932
323	445	930
324	447	929
325	448	927
326	450	926
327	451	924
328	452	923
329	454	922
330	455	920
331	456	918
332	457	916
333	458	914
334	459	913
335	461	911
336	462	909
337	463	907
338	464	906
339	466	905
340	467	903
341	469	902
342	470	900
343	471	898
344	472	896
345	473	894
346	474	892
347	475	890
348	476	888
349	477	886
350	478	884
351	479	882
352	480	881
353	481	879
354	483	878
355	484	876
356	485	874
357	486	872
358	487	870
359	488	869
360	490	867
361	491	866
362	493	865
363	494	864
364	495	862
365	497	861
366	498	859
367	499	858
368	500	856
369	501	854
370	502	852
371	503	850
372	504	848
373	505	846
374	506	844
375	507	842
376	508	841
377	510	839
378	511	837
379	512	835
380	513	834
381	514	832
382	515	830
383	516	828
384	517	826
385	518	824
386	519	822
387	520	820
388	521	818
389	522	816
390	523	815
391	524	813
392	525	811
393	526	809
394	527	808
395	529	806
396	530	805
397	531	803
398	532	802
399	533	800
400	534	799
401	536	797
402	537	795
403	538	794
404	539	792
405	540	791
406	541	789
407	543	788
408	544	786
409	545	785
410	546	783
411	548	782
412	549	780
413	550	778
414	551	777
415	552	775
416	553	774
417	555	772
418	556	771
419	557	769
420	558	768
421	560	767
422	561	765
423	562	764
424	563	763
425	565	761
426	567	761
427	568	760
428	570	759
429	571	757
430	574	758
431	576	757
432	577	756
433	578	755
434	580	753
435	581	752
436	582	750
437	584	749
438	585	748
439	587	747
440	588	745
441	589	744
442	590	743
443	592	742
444	594	741
445	595	739
446	597	739
447	598	737
448	600	737
449	601	735
450	603	735
451	605	733
452	606	732
453	607	731
454	609	729
455	610	728
456	612	727
457	614	727
458	615	725
459	616	724
460	617	722
461	619	721
462	620	720
463	622	718
464	623	717
465	624	715
466	625	714
467	627	712
468	628	711
469	629	709
470	630	708
471	631	706
472	633	705
473	634	703
474	635	702
475	636	700
476	637	699
477	639	697
478	640	696
479	641	695
480	642	693
481	644	692
482	645	690
483	646	689
484	647	687
485	648	686
486	650	684
487	651	683
488	652	681
489	653	680
490	654	678
491	656	677
492	657	676
493	658	674
494	659	673
495	660	671
496	662	670
497	663	668
498	664	667
499	665	665
500	666	664
501	668	662
502	669	661
503	670	659
504	671	658
505	672	656
506	674	655
507	675	653
508	676	652
509	677	651
510	678	649
511	679	648
512	681	646
513	682	645
514	683	643
515	684	642
516	685	640
517	687	639
518	688	637
519	689	636
520	690	635
521	692	633
522	693	632
523	694	630
524	695	629
525	696	628
526	698	626
527	699	625
528	700	623
529	701	622
530	702	620
531	704	619
532	705	618
533	707	617
534	708	615
535	709	614
536	711	613
537	712	611
538	714	610
539	715	609
540	716	608
541	717	606
542	719	605
543	720	604
544	722	602
545	723	601
546	725	600
547	726	599
548	727	597
549	728	596
550	730	595
551	731	593
552	732	592
553	734	591
554	735	590
555	737	588
556	738	587
557	740	586
558	741	585
559	743	584
560	744	582
561	746	581
562	747	580
563	748	578
564	750	577
565	751	576
566	753	575
567	754	573
568	756	572
569	757	571
570	759	570
571	760	569
572	761	567
573	763	566
574	765	565
575	766	564
576	767	563
577	769	561
578	771	560
579	772	559
580	774	558
581	775	557
582	777	555
583	778	554
584	780	553
585	781	552
586	783	550
587	784	549
588	785	548
589	787	547
590	788	545
591	790	544
592	791	543
593	793	542
594	794	540
595	795	539
596	797	538
597	798	536
598	799	535
599	801	534
600	802	533
601	804	531
602	805	530
603	806	529
604	808	527
605	809	526
606	810	525
607	812	523
608	813	522
609	815	521
610	816	519
611	817	518
612	819	517
613	820	515
614	822	514
615	823	513
616	824	511
617	826	510
618	827	509
619	828	507
620	830	506
621	831	505
622	832	504
623	834	502
624	835	501
625	837	500
626	838	498
627	839	497
628	840	496
629	842	494
630	843	493
631	844	491
632	846	490
633	847	489
634	848	487
635	850	486
636	851	485
637	853	484
638	854	482
639	855	481
640	857	480
641	858	478
642	859	477
643	861	476
644	862	474
645	863	473
646	865	472
647	866	470
648	868	469
649	869	468
650	870	466
651	872	465
652	873	464
653	874	462
654	876	461
655	877	460
656	878	458
657	880	457
658	881	456
659	883	454
660	884	453
661	885	452
662	887	450
663	888	449
664	889	448
665	891	446
666	892	445
667	893	444
668	895	442
669	896	441
670	898	440
671	899	439
672	900	437
673	902	436
674	903	435
675	905	433
676	906	432
677	907	431
678	908	429
679	910	428
680	911	427
681	913	425
682	914	424
683	916	423
684	917	421
685	918	420
686	920	419
687	921	418
688	923	416
689	924	415
690	925	414
691	927	412
692	928	411
693	930	410
694	931	408
695	933	407
696	934	406
697	935	404
698	937	403
699	938	402
700	939	400
701	941	399
702	942	398
703	943	396
704	945	395
705	946	394
706	948	392
707	949	391
708	950	390
709	952	388
710	953	387
711	954	386
712	956	384
713	957	383
714	958	382
715	960	380
716	961	379
717	962	378
718	964	376
719	965	375
720	967	374
721	968	372
722	969	371
723	971	370
724	972	368
725	973	367
726	975	366
727	976	364
728	977	363
729	979	362
730	980	360
731	981	359
732	983	358
733	984	356
734	985	355
735	987	354
736	988	352
737	989	351
738	991	350
739	993	348
740	994	347
741	996	346
742	997	345
743	998	343
744	1000	342
745	1001	340
746	1002	339
747	1003	338
748	1005	336
749	1006	335
750	1007	334
751	1009	332
752	1010	331
753	1011	330
754	1013	328
755	1014	327
756	1015	326
757	1017	324
758	1018	323
759	1019	322
760	1020	320
761	1022	319
762	1023	317
763	1024	316
764	1026	315
765	1027	313
766	1029	312
767	1030	311
768	1031	309
769	1033	308
770	1034	307
771	1035	305
772	1036	304
773	1038	303
774	1039	301
775	1041	300
776	1042	299
777	1043	297
778	1045	296
779	1046	295
780	1047	293
781	1049	292
782	1050	291
783	1051	289
784	1053	288
785	1054	287
786	1055	285
787	1056	284
788	1058	282
789	1059	281
790	1060	280
791	1061	278
792	1063	277
793	1064	276
794	1065	274
795	1066	273
796	1067	271
797	1069	270
798	1070	269
799	1071	267
800	1077	267
801	1079	266
802	1081	265
803	1082	263
804	1084	262
805	1086	261
806	1088	260
807	1090	259
808	1092	257
809	1093	256
810	1095	255
811	1097	254
812	1099	252
813	1101	251
814	1103	250
815	1104	249
816	1106	247
817	1107	246
818	1109	245
819	1110	243
820	1112	242
821	1114	241
822	1120	240
823	1122	239
824	1124	238
825	1126	237
826	1127	235
827	1129	234
828	1131	233
829	1132	232
830	1134	230
831	1135	229
832	1137	228
833	1139	226
834	1140	225
835	1142	224
836	1143	222
837	1145	221
838	1146	220
839	1147	218
840	1149	217
841	1150	215
842	1152	214
843	1154	213
844	1155	211
845	1156	210
846	1158	209
847	1159	207
848	1160	206
849	1162	205
850	1163	203
851	1164	202
852	1166	200
853	1167	199
854	1169	198
855	1171	197
856	1173	195
857	1174	194
858	1175	193
859	1177	191
860	1178	190
861	1179	188
862	1181	187
863	1182	186
864	1184	184
865	1186	183
866	1187	182
867	1189	180
868	1190	179
869	1191	178
870	1192	176
871	1194	175
872	1195	173
873	1196	172
874	1198	171
875	1199	169
876	1201	168
877	1202	167
878	1203	165
879	1205	164
880	1206	162
881	1207	161
882	1209	160
883	1210	158
884	1211	157
885	1212	156
886	1214	154
887	1215	153
888	1216	151
889	1218	150
890	1220	149
891	1221	147
892	1222	146
893	1223	145
894	1225	143
895	1226	142
896	1227	140
897	1228	139
898	1229	138
899	1230	136
900	1231	135
901	1233	134
902	1235	132
903	1236	131
904	1237	129
905	1238	128
906	1239	127
907	1241	125
908	1242	124
909	1243	122
910	1244	121
911	1245	120
912	1246	118
913	1248	117
914	1249	116
915	1250	114
916	1251	113
917	1253	111
918	1254	110
919	1255	109
920	1256	107
921	1257	106
922	1259	105
923	1260	103
924	1261	102
925	1262	100
926	1263	99
927	1264	98
928	1266	96
929	1267	95
930	1268	94
931	1269	92
932	1270	91
933	1271	89
934	1273	88
935	1274	87
936	1275	85
937	1276	84
938	1277	83
939	1279	81
940	1280	80
941	1282	78
942	1283	77
943	1284	76
944	1285	74
945	1286	73
946	1287	72
947	1289	70
948	1290	69
949	1291	67
950	1292	66
951	1293	65
952	1294	63
953	1296	62
954	1297	61
955	1299	59
956	1300	58
957	1301	57
958	1302	55
959	1303	54
960	1304	52
961	1306	51
962	1307	50
963	1308	48
964	1309	47
965	1310	46
966	1311	44
967	1313	43
968	1314	42
969	1316	40
970	1317	39
971	1318	37
972	1319	36
973	1320	35
974	1322	33
975	1323	32
976	1324	31
977	1325	29
978	1326	28
979	1327	27
980	1329	25
981	1330	24
982	1331	23
983	1332	21
984	1334	20
985	1335	18
986	1336	17
987	1337	16
988	1338	14
989	1339	13
990	1341	12
991	1342	10
992	1343	9
993	1344	8
994	1345	6
995	1347	5
996	1348	4
997	1349	2
998	1350	1
999	1351	0
